name,address,city,latitude,longitude,phone,website,has_adoration,has_confessions,country
"Hermandad de ""La Fervorosa""",,,37.9967366,-3.4710815,,,false,false,ES
Shrine of Our Lady of Europe,,,36.1113418,-5.3482947,,,false,false,ES
Iglesia de Santa Catalina,,,42.6766968,-1.8911474,,,false,false,ES
Capela de Santa Ana,,,41.5816976,-8.4975941,,,false,false,ES
Capela de São Bartolomeu,,,41.571625,-8.4942378,,,false,false,ES
Iglesia de San Zoilo,,,42.5536028,-2.267721,,,false,false,ES
Iglesia Parroquial de la Inmaculada Concepción,,,39.7027624,-0.3375358,,,false,false,ES
Ermita de Sant Domènec de Petrés,,,39.6874958,-0.3090545,,,false,false,ES
Parroquia San Pío X,Calle de Juan del Castillo 22,Santander,43.4680515,-3.8068284,,,false,false,ES
Igrexa Fogar de Santa Margarida,,,43.3662078,-8.414249,,,false,false,ES
Complexo relixioso de Santa Cruz,,,43.3450781,-8.3468958,,,false,false,ES
Ermita de la Mare de Déu de Bruguers,,,41.3145719,1.9612561,,,false,false,ES
Iglesia de San Martín de Tours,,,43.3873276,-4.182597,,,false,false,ES
Monasterio de Santa Clara,1,,41.9169145,0.1849593,,,false,false,ES
Ermita de San Cristóbal,,,42.2995244,-0.5471017,,,false,false,ES
Iglesia de San Esteban,,,42.4928242,-0.6522379,,,false,false,ES
Convento del Carmen,,,42.5732118,-1.284058,,,false,false,ES
Parroquia Divina Pastora,,Sevilla,37.4008629,-5.9846379,,,false,false,ES
Ermita de Nuestra Señona de la Luz,,,39.5140184,-6.6025324,,,false,false,ES
Ermita de Sant Onofre,,,39.4830799,-0.4511078,,,false,false,ES
Santa Cecilia,,,39.4817875,-0.4356456,,,false,false,ES
Chapelle de l'Hôpital de Purpan,,,43.6087119,1.3977026,,,false,false,ES
Capela Nossa Senhora da Conceição,,,41.5925284,-8.4984373,,,false,false,ES
Calvário,,,41.1497336,-7.6786019,,,false,false,ES
Iglesia de Nuestra Señora del Valle,,,43.254629,-4.5800213,,,false,false,ES
Iglesia de Santa Juliana,,,43.2541919,-4.509769,,,false,false,ES
Iglesia de Santa María,,,43.2540435,-4.4808094,,,false,false,ES
Igreja de Santo António,,,37.0995878,-8.6713272,,,false,false,ES
Igreja de Gavião,,,41.4270254,-8.5117703,,,false,false,ES
Iglesia de San Martín,,,43.1333352,-4.5479944,,,false,false,ES
Ermita Nuestra Señora de las Angustias,,,38.0738072,-0.9499522,,,false,false,ES
Capela da Nossa Senhora da Imaculada Conceição,,,39.8318071,-8.8794694,,,false,false,ES
Ermita de Santa María de la Blanca,,,43.3236647,-3.7415189,,,false,false,ES
Iglesia de Santa María la Real,,,42.8721302,-4.1951304,,,false,false,ES
Sant Martí,,,42.0279185,2.0741005,,,false,false,ES
Sant Martí de Mata,,,41.5729084,2.4589408,,,false,false,ES
Sant Miquel de Mata,,,41.5690316,2.4640252,,,false,false,ES
"Ermita de Sta, Rita",,,41.5647544,2.4464556,,,false,false,ES
Iglesia de San Miguel,,,43.2147009,-3.4888927,,,false,false,ES
Santa Maria de Rocacorba,,,42.0672497,2.6877693,,,false,false,ES
Église Notre-Dame,,,43.5286948,1.8876566,,,false,false,ES
Parroquia de San Miguel de las Dueñas,,San Miguel de las Dueñas,42.5833414,-6.5231448,,,false,false,ES
Santuari de Lourdes de la Nou,,,42.1632402,1.8847136,,,false,false,ES
Iglesia Parroquial San Antón,,,39.4832215,-6.5780747,,,false,false,ES
Notre-Dame du Bon Accueil,,,43.7862031,1.3590682,,,false,false,ES
Església Sant Climent,,,39.8718073,4.2078446,,,false,false,ES
